created_at,updated_at,id,value,Lag_1,Lag_2,Lag_4,Lag_8,Rolling_Mean_4Q,Rolling_Mean_8Q,Rolling_Std_4Q,Rolling_Std_8Q,QoQ_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_4,EMA_8,ROC,RSI
2024-08-13 20:26:03.680798,2024-08-13 20:26:03.680798,0.0,0.0,,,,,,,,,,,0.0,,,0.7084593776586416,,0.0,0.0,,
2024-08-13 20:26:03.685421,2024-08-13 20:26:03.685421,0.003236245954692557,9.8781127548523e-05,0.0,,,,,,,,0.5547320574533576,,0.00010875133537264784,0.0,,0.0,,4.028592724213652e-05,2.304899823609742e-05,,
2024-08-13 20:26:03.688034,2024-08-13 20:26:03.688034,0.0064724919093851144,0.0002262031455025227,0.00010004991791553661,0.0,,,,,,,0.5734323478605352,,0.00021910187706499122,0.00012743460608807648,0.0,1.0,0.6270844551584087,0.00011642403096074304,7.070788938198964e-05,,
2024-08-13 20:26:03.690765,2024-08-13 20:26:03.690765,0.00970873786407767,0.0005841262039522396,0.0002291086030441012,0.00010117690681123344,,,0.0,,0.004585659399262814,,0.7266381385381936,,0.0003339445216625341,0.0004853930240739362,0.00022217326602557742,0.612508279424901,0.8233397315313429,0.00030807872656569285,0.00019129154424489363,,
2024-08-13 20:26:03.693500,2024-08-13 20:26:03.693500,0.012944983818770229,0.000795392402921034,0.0005916289903557456,0.00023168934330775048,0.0,,0.0002025532383842666,,0.0061918606908607735,,0.6228240497884131,0.6094259535209231,0.00045143865652803763,0.0006966800942177567,0.00047612042187684077,0.7084593776586416,0.7737105876704096,0.0005092322806159264,0.00033437442423561725,0.6094259535209234,
2024-08-13 20:26:03.696331,2024-08-13 20:26:03.696331,0.016181229773462785,0.0010358279220075792,0.0008056087898348722,0.0005982932567179262,0.00010454943667093097,,0.0004411799363992896,,0.006747874797700514,,0.638112432201245,0.6670603122282833,0.0005719503703628312,0.0009371393661423127,0.0007030599972677083,0.0,0.811967829337835,0.0007279812794610367,0.0005017628964622042,0.6670603122282832,
2024-08-13 20:26:03.701009,2024-08-13 20:26:03.701009,0.01941747572815534,0.0012693586261870258,0.0010491325736342785,0.0008146833815920237,0.0002394122442453822,,0.0007068280868907633,,0.005599351275604068,,0.6300864926670383,0.7066445707853952,0.0006953930044888224,0.0011706931410269857,0.0008382018096316814,1.0,0.9163162135780887,0.0009544715531219251,0.0006864445899408544,0.7066445707853952,
2024-08-13 20:26:03.704022,2024-08-13 20:26:03.704022,0.022653721682847898,0.0013105761437447183,0.0012856628538989324,0.001060950282086557,0.0006182361659916955,,0.000891824558177946,0.0,0.004160366410208753,0.00655605474565473,0.5114807223195245,0.5586811548643233,0.0008193529378666918,0.0012119147304997663,0.0008746877948772741,0.612508279424901,0.9306368748097764,0.001107175465846738,0.000839703356426233,0.5586811548643233,
2024-08-13 20:26:03.707141,2024-08-13 20:26:03.707141,0.025889967637540454,0.0011227369953535887,0.0013274097882645438,0.0013001449023617596,0.0008418392229516004,0.0,0.0009751855596424955,0.00014710445376758287,0.0014535353908674688,0.0056024360549210795,0.37473600063789686,0.39122272167521327,0.0009409554014915571,0.0010240570253126982,0.0008407001689482736,0.7084593776586416,0.7390622540871696,0.0011221913355732565,0.0009150753544140758,0.3912227216752131,
2024-08-13 20:26:03.710786,2024-08-13 20:26:03.710786,0.029126213592233014,0.0009929898866655653,0.0011371579472068977,0.0013423620853036788,0.0010963149381010666,0.00011082518161555782,0.0009642765004753747,0.0002642664352543282,0.0018774894839271566,0.003970047570795562,0.4078897620214839,0.24259588630575035,0.0010609294778132874,0.0008942970987928251,0.0007682070883080084,0.0,0.6799589147484042,0.0010782860678111694,0.0009434236042148974,0.24259588630575035,
2024-08-13 20:26:03.715224,2024-08-13 20:26:03.715224,0.032362459546925564,0.001047171546497817,0.0010057443068064269,0.0011499671968880232,0.0013434826327129099,0.00025378334206615366,0.0009076947273116923,0.0003718322397915034,0.0017220172983987612,0.0018073316466644318,0.5201851344771095,0.17425803379601718,0.0011815835594763758,0.0009484841112792665,0.0007503842537619626,1.0,0.7483586193529739,0.0010740398244500696,0.0009781146678016217,0.17425803379601718,
2024-08-13 20:26:03.717730,2024-08-13 20:26:03.717730,0.03559870550161812,0.0009674843458862756,0.0010606219008699423,0.0010170732782768342,0.001387107041024245,0.0006553467676061169,0.0008203235700513338,0.00042206100244913947,0.0,0.0005876797349355259,0.43795058999356673,0.12846893827809128,0.0013012375292524995,0.000868789038298557,0.0008625438711105382,0.612508279424901,0.5245210807471246,0.0010389932312787325,0.0009865028707652362,0.12846893827809103,
