date,value,Lag_1,Lag_3,Lag_12,Rolling_Mean_3M,Rolling_Mean_6M,Rolling_Mean_12M,Rolling_Std_3M,Rolling_Std_6M,Rolling_Std_12M,MoM_Percentage_Change,YoY_Percentage_Change,Cumulative_Sum,Cumulative_Product,Trend,Seasonal,Residual,EMA_12,EMA_26,EMA_50,ROC,RSI,Z_Score,Days_Since_Peak,Days_Since_Trough,Labor_Force_Value,Labor_Force_Lag_1,Labor_Force_Lag_3,Labor_Force_Lag_12,Labor_Force_Rolling_Mean_3M,Labor_Force_Rolling_Mean_6M,Labor_Force_Rolling_Mean_12M,Labor_Force_EMA_12,Labor_Force_EMA_26,Labor_Force_EMA_50,Labor_Force_Peak,Labor_Force_Days_Since_Peak,Labor_Force_Trough,Labor_Force_Days_Since_Trough
1948-01-01,0.0543478260869561,,,,,,,,,,,,0.0,,,0.0222677698507141,,0.0,0.0,0.0,,,0.0543478260869566,0.0,0.0,0.0543478260869561,,,,,,,0.0543478260869561,0.0543478260869561,0.0543478260869561,0.0543478260869561,,0.0543478260869561,
1948-02-01,0.0869565217391299,0.0543478260869561,,,,,,,,,0.7900308940312669,,0.0010209741723002,0.0869565217391361,,0.9554092315497656,,0.0053764620718714,0.0026068022094118,0.0013962407768079,,,0.0869565217391302,0.0,0.0012197521148927,0.0869565217391299,0.0543478260869561,,,,,,0.059364548494982836,0.056763285024154155,0.055626598465472715,0.0869565217391299,,0.0543478260869561,
1948-03-01,0.0434782608695645,0.0869565217391299,,,0.0335820895522385,,,0.1237421994305139,,,0.5811829108632339,,0.0020350147339226,0.0434782608695707,,0.5710665168439846,,0.0027571600368565,0.0015447716796508,0.0008760726442718,,,0.0434782608695651,0.0032409476978095,0.0,0.0434782608695645,0.0869565217391299,,,0.061594202898550166,,,0.05692050424491848,0.05577920916085122,0.05515019306955475,0.0869565217391299,,0.0434782608695645,
1948-04-01,0.0978260869565215,0.0434782608695645,0.0543478260869561,,0.048507462686568,,,0.1572735907015176,,,0.8501316734498447,,0.0030577223088923,0.0978260869565268,,0.2965245173761559,,0.0095015976654773,0.0049060804270411,0.0027033712233777,,,0.0978260869565217,0.0,0.0012197521148927,0.0978260869565215,0.0434782608695645,0.0543478260869561,,0.07608695652173864,,,0.06321367081593432,0.058893792701271236,0.05682375753571031,0.0978260869565215,,0.0434782608695645,
1948-05-01,0.0217391304347822,0.0978260869565215,0.0869565217391299,,0.026119402985075,,,0.214327776453974,,,0.4922257885190491,,0.0040682960651759,0.0217391304347867,,0.6540744777450982,,0.0026633513373779,0.0019358648526628,0.001201115888791,,,0.0217391304347822,0.0033527045149754,0.0,0.0217391304347822,0.0978260869565215,0.0869565217391299,,0.05434782608695607,,,0.05683297229575707,0.05614159549634612,0.055447889806262154,0.0978260869565215,,0.0217391304347822,
1948-06-01,0.1195652173913046,0.0217391304347822,0.0434782608695645,,0.0522388059701501,0.028625954198473,,0.2809205798843666,0.2154991115393867,,0.9709517651798192,,0.0050944704454844,0.1195652173913099,,0.4256566938086052,,0.0130065291215251,0.0070060718749935,0.0039464948585337,,,0.1195652173913046,0.0,0.0012197521148927,0.1195652173913046,0.0217391304347822,0.0434782608695645,,0.0797101449275361,0.07065217391304314,,0.0664840869258413,0.06083964156263934,0.05796229480959715,0.1195652173913046,,0.0217391304347822,
1948-07-01,0.1304347826086953,0.1195652173913046,0.0978260869565215,,0.0634328358208966,0.0419847328244271,,0.3273910863773016,0.254626934403852,,0.7298825938699035,,0.0061223782284624,0.1304347826087006,0.0264058679706593,1.0,0.8505078856011927,0.0235506028089913,0.0125696420765848,0.007049625500163,,,0.1304347826086953,0.0,0.0024001573873696,0.1304347826086953,0.1195652173913046,0.0978260869565215,,0.09057971014492737,0.083333333333333,,0.07632265549243422,0.06599483719568051,0.060804353154659825,0.1304347826086953,,0.0217391304347822,
1948-08-01,0.0869565217391299,0.1304347826086953,0.0217391304347822,,0.0858208955223887,0.0419847328244271,,0.1237421994305159,0.254626934403852,,0.5819861515784875,,0.0071433524007627,0.0869565217391343,0.0273838630806846,0.727691959748654,0.7053797616339743,0.0253038952179407,0.0142453596877318,0.0081694103750038,,,0.0869565217391302,0.0034644613321412,0.0036199095022624,0.0869565217391299,0.1304347826086953,0.0217391304347822,,0.11231884057970994,0.083333333333333,,0.0779586349150028,0.06754755456926936,0.061829928393266495,0.1304347826086953,,0.0217391304347822,
1948-09-01,0.0869565217391299,0.0869565217391299,0.1195652173913046,,0.0746268656716422,0.049618320610687,,0.137279644610896,0.223533786571894,,0.7002633468996896,,0.0081643265730629,0.0869565217391343,0.029828850855746,0.4865353812381272,0.7005292766400437,0.0267874503332068,0.0157969500684229,0.009245282117499,,,0.0869565217391302,0.0069289226642825,0.0048396616171552,0.0869565217391299,0.0869565217391299,0.1195652173913046,,0.10144927536231836,0.09057971014492723,,0.07934292519563774,0.06898525584111088,0.06281528499506506,0.1304347826086953,,0.0217391304347822,
1948-10-01,0.0652173913043476,0.0869565217391299,0.1304347826086953,,0.0522388059701501,0.0438931297709919,,0.0686398223054479,0.2306531617078475,,0.6407231288814628,,0.0091818339400242,0.065217391304353,0.0308068459657704,0.1514445066156895,0.6287067682022709,0.0244584581520559,0.0154957396887134,0.0093481356267295,,,0.0652173913043481,0.0102816271792579,0.0060200668896321,0.0652173913043476,0.0869565217391299,0.1304347826086953,,0.07971014492753581,0.08514492753623158,,0.07716976613543926,0.0687061547643136,0.0629094852424879,0.1304347826086953,,0.0217391304347822,
